时间,MEC,NEERI,SHPE,SZPE,Deposit,Loan,M2,PPI,PPI_pro,PPI_ex,PPI_raw,PPI_fac,PPI_liv,PPI_food,PPI_clo,PPI_gen,PPI_dur,IPI,RECI_imputed,CPI_seasadj,CPI_food_seasadj,CPI_health_seasadj,CPI_trans_seasadj,Consumption_imputed_seasadj,Import_seasadj,Export_seasadj,M0_seasadj,M1_seasadj,Trade_balance_seasadj
2020/8/1,98.6597,98.73,16.03,33.4,2094948.16,1674708.18,2136836.91,96.3966583132422,94.0019075991475,89.5597362630809,89.2044040911562,96.0745914957961,104.694608235593,112.528077867661,109.351839962993,104.3653002,91.980246663561,96.74947372,100.38,123.836475453882,153.740733116806,129.860769806577,93.3202618296204,35466.7173374434,1718.97988303609,2288.22710700823,80974.4501778174,600318.355401657,569.24722397214
2020/9/1,100.3975,100.37,15.28,31.39,2110774.4,1693665.4,2164084.8,96.4641756586343,94.2385037694014,90.3271028938849,89.5461800748445,96.3178190685302,104.586394924473,112.532733215919,108.913173750272,104.46259978332,91.7941272635178,97.1904220998743,100.47,123.618587542417,152.440820129262,129.919597300899,93.4370716178278,36035.0642990616,1937.93800359766,2290.518425,82038.5141915875,605151.055887401,352.58042113834
2020/10/1,102.8594,101.37,15.37,32.27,2106803.09,1700563.15,2149720.42,96.3776065266733,94.1705385821394,90.2199724294296,89.738095180921,96.322681556655,104.580790700396,112.281723671907,108.805885042486,104.248807047729,91.7065303462524,97.2980944280097,100.55,123.335472421955,150.196658979717,129.983541800308,93.2425888260235,36141.6051483861,1865.05196035713,2365.56812173817,82152.3307757012,612849.013511558,500.51616138104
2020/11/1,106.2559,102.29,16.27,33.09,2127813.68,1714899.83,2172002.55,97.1059617130829,94.9253358416486,90.8684030333483,91.1595730094539,96.5597999151329,104.679749895337,112.788441504902,108.694138788048,104.151277847168,91.7032398320018,97.8550055515353,100.6,122.94857441976,148.15749993741,130.08097761841,93.1285410838182,37008.1731152205,1852.08383776168,2516.28570138371,82451.2081232876,619259.188631314,664.20186362203
2020/12/1,110.3904,101.68,16.76,34.51,2125720.88,1727452.07,2186795.89,97.9753432001205,96.1475686355903,94.0437004833575,93.538856846439,97.5170896148943,104.894208763464,113.367945539794,108.58555236002,104.25233385867,91.3314509064361,99.6333466832415,100.86,123.723919946436,150.863611005177,129.976024070849,94.6212271674009,37430.5210433936,1920.28088539676,2603.23626865533,82807.7274304356,618784.684375215,682.95538325857
2021/1/1,114.3309,102.66,16.82,34.82,2161418.83,1763234.93,2213047.33,99.0176661571706,97.2275020219729,95.8582851351039,94.511925025272,98.2088126872355,104.665469397248,114.089207834729,108.983785132783,103.92865766611,90.6890017797963,100.431440829659,101.11,124.533201756644,155.811526239152,129.907438718434,95.0128711755177,38232.05345,1970.94846706951,2625.0842285028,81894.6257477003,615834.883950368,654.13576143329
2021/2/1,116.5216,103.21,16.94,34.2,2172935.17,1776828.68,2236030.26,99.7495758368234,98.1793177202214,99.8391241687161,96.8429408031539,98.5713976079883,104.673082948413,114.228115053525,109.091483049335,103.834844069412,90.6042381914451,101.6203832,101.43,124.423380613366,153.649035117321,129.842655566093,95.1869087938732,38973.8903235077,2126.84456245742,2718.21237268511,80884.5048109476,609402.524770029,591.36781022769
2021/3/1,116.0964,103.88,16.63,31.47,2209233.14,1804131.37,2276488.45,101.325541487854,100.305067394985,100.745773556508,100.516585401335,100.065823726092,104.892171704639,114.37473731082,109.219975300174,104.053468832058,91.0662293374135,103.403844657984,101.32,124.640595286802,152.468239150013,129.91134230746,96.9120796680969,38666.4274323689,2258.61163626287,2747.54841220724,82647.1328129061,611490.811774745,488.93677594437
2021/4/1,113.4566,103.56,16.74,29.68,2201981.56,1818816.61,2262107.12,102.266341451729,101.683361740155,104.001706719691,101.449383336268,101.256282104124,105.001095836632,114.071356162037,109.014883689172,104.158343853067,91.52805573,104.658034445713,101.29,124.679932179195,150.698216725371,129.981347150216,97.4741547749842,38617.1712180882,2292.99099393374,2741.64684963905,84336.834982248,611409.290967402,448.65585570531
2021/5/1,109.6963,104.21,17.29,31.19,2227607.85,1833780.32,2275538.07,103.768887796875,104.003455353179,110.981173669468,103.750698171748,102.8731038,104.90035272627,113.753105234164,109.018525238363,104.472037311807,91.4323763744556,106.641546871284,101.18,124.661301079074,149.356882306261,130.107468145065,98.1364450675933,38313.096,2200.53957329924,2663.17192560546,84318.4404460249,618332.237727331,462.63235230622
